season,conference,adj_off_eff,adj_def_eff,adj_tempo,eff_diff
2018,ACC,121.959,96.9241,70.9501,25.034900000000007
2017,P12,122.757,99.8057,73.179,22.951300000000003
2025,SEC,116.21,92.1262,66.1359,24.083799999999997
2018,B12,120.933,97.6938,68.4279,23.23920000000001
2025,B10,116.85,95.0871,64.889,21.762899999999988
2017,B12,119.541,96.4283,68.1638,23.112700000000004
2025,B10,115.994,93.7182,69.4392,22.275800000000004
2017,P12,117.585,94.8418,65.6678,22.743199999999987
2025,SEC,117.842,95.7535,68.0276,22.088499999999996
2022,SEC,113.602,89.1491,70.0205,24.4529
2025,ACC,118.657,94.7322,64.2485,23.92479999999999
2023,B10,119.362,94.8154,64.3846,24.546599999999998
2024,WCC,121.0,99.4359,69.0906,21.564099999999996
2017,B10,121.592,98.9742,62.8409,22.617800000000003
2017,B10,116.912,92.6889,68.8912,24.223100000000002
2016,B10,120.855,98.0589,67.7325,22.79610000000001
2024,SEC,125.604,103.121,72.6437,22.483000000000004
2018,WCC,119.824,95.0891,68.9851,24.734899999999996
2021,BE,118.602,95.984,65.0666,22.61800000000001
2023,WCC,124.004,99.6937,70.0663,24.310299999999998
2024,BE,118.295,95.5586,68.9764,22.736400000000003
2017,B10,113.589,91.2963,63.2884,22.292699999999996
2025,B12,115.97,92.712,68.3503,23.257999999999996
2023,B12,114.61,91.4741,69.2715,23.135899999999992
2015,B12,111.785,87.6854,66.9861,24.099599999999995
2022,B10,121.548,98.0208,69.5965,23.527200000000008
2015,B12,114.271,90.5293,66.6617,23.741699999999994
2025,WCC,115.276,92.1878,61.6752,23.0882
2016,P12,119.63,96.8455,68.0532,22.784499999999994
2016,MVC,111.743,90.5918,65.8499,21.15119999999999
2016,ACC,118.848,95.9995,65.897,22.8485
2016,BE,117.096,95.3858,71.9214,21.7102
2018,B12,114.03,92.0873,66.5709,21.942700000000002
2018,B12,119.151,97.3766,69.0413,21.7744
2017,B12,124.834,102.73,70.289,22.104
2022,B10,121.268,98.9804,65.764,22.287599999999998
2021,P12,113.403,97.4859,64.6928,15.917100000000005
2021,B10,112.522,89.8672,64.9341,22.65480000000001
2019,ACC,112.987,90.4293,68.2507,22.557699999999997
2023,BE,119.308,97.4789,68.3572,21.82910000000001
2025,B12,123.002,100.609,67.224,22.393
2020,B10,,,,
2015,MVC,114.962,93.3065,61.4547,21.655500000000004
2018,SEC,114.839,92.6901,66.1739,22.148899999999998
2021,ACC,116.442,94.3726,70.5582,22.069399999999987
2017,Amer,114.215,91.8982,63.7687,22.3168
2019,B12,118.992,97.1452,67.6056,21.8468
2015,B12,117.192,93.7123,61.2742,23.479699999999994
2016,Amer,119.059,97.0181,65.7467,22.040899999999993
2016,ACC,121.786,99.7328,67.5008,22.053200000000004
2023,P12,119.979,97.1195,72.3118,22.859499999999997
2024,B12,122.491,100.186,65.6019,22.304999999999993
2019,B10,110.809,87.134,63.61,23.674999999999997
2023,BE,114.621,93.9665,67.9808,20.6545
2021,P12,114.453,96.7728,67.2355,17.6802
2021,B12,112.362,91.4155,65.3672,20.9465
2025,ACC,118.114,95.4734,68.7455,22.640600000000006
2025,B10,116.633,96.4838,67.5981,20.149199999999993
2015,B10,115.973,95.052,62.8407,20.920999999999992
2018,ACC,113.774,93.5052,65.6205,20.2688
2019,B12,112.746,92.0406,69.9355,20.705399999999997
2021,SEC,111.502,89.9724,73.1045,21.529600000000002
2015,B12,120.166,97.135,69.3108,23.03099999999999
2018,BE,120.74,99.0492,70.4307,21.690799999999996
2020,ACC,,,,
2021,ACC,115.637,92.9824,60.0732,22.654600000000002
2016,SEC,114.159,92.3528,66.5488,21.806200000000004
2015,ACC,108.601,88.176,64.8006,20.424999999999997
2021,WCC,113.107,92.1612,67.9796,20.945800000000006
2020,B12,,,,
2023,WCC,113.47,91.5736,61.7454,21.8964
2020,B10,,,,
2018,B10,116.15,95.0408,66.3996,21.1092
2016,P12,117.368,95.4851,68.3189,21.882899999999992
2015,MVC,115.17,94.2192,58.014,20.9508
2025,BE,117.663,96.084,67.5604,21.578999999999994
2016,B12,121.033,99.9576,71.0322,21.075400000000002
2022,B12,111.812,91.4059,63.0969,20.406099999999995
2020,BE,,,,
2025,B12,120.812,99.6653,64.5156,21.146699999999996
2017,SEC,105.546,88.5163,68.211,17.029700000000005
2016,WCC,116.44,97.1644,67.1988,19.275599999999997
2015,B10,115.312,94.3058,65.1703,21.006199999999993
2020,WCC,,,,
2017,BE,117.971,97.0613,65.3305,20.9097
2019,SC,118.357,97.6422,65.6363,20.714799999999997
2021,BE,114.87,93.5652,69.0627,21.3048
2021,BE,113.581,91.6796,66.0354,21.90140000000001
2024,B10,113.763,93.7282,65.1871,20.034800000000004
2021,B12,116.128,95.8073,69.6016,20.320700000000002
2020,Amer,,,,
2018,SEC,116.426,96.019,68.5818,20.406999999999996
2021,B10,113.612,91.3407,66.4842,22.271299999999997
2023,MWC,111.929,91.6744,66.009,20.254599999999996
2016,B10,116.294,95.5806,67.2907,20.713399999999993
2021,SEC,119.771,100.181,70.7574,19.590000000000003
2021,B12,113.848,93.2661,69.2079,20.581900000000005
2025,ACC,118.852,99.3034,70.4314,19.548600000000008
2020,ACC,,,,
2020,B10,,,,
2019,SEC,118.485,97.5196,69.8753,20.965400000000002
2016,B10,116.298,94.9421,68.812,21.355900000000005
2018,Amer,115.787,95.2473,68.2176,20.53970000000001
2025,BE,121.928,102.59,63.7051,19.337999999999994
2022,ACC,113.057,97.0108,70.1492,16.0462
2015,BE,110.554,90.9269,63.0408,19.6271
2019,SEC,117.395,96.7173,67.4194,20.6777
2025,SEC,118.739,98.6336,68.1194,20.105400000000003
2017,ACC,116.738,93.9951,70.7622,22.742900000000006
2019,B12,107.96,87.7377,63.0414,20.22229999999999
2020,P12,,,,
2024,B10,120.064,99.4627,65.1516,20.601299999999995
2021,MWC,110.835,89.5391,66.0736,21.29589999999999
2021,SEC,108.804,87.7414,67.3118,21.062600000000003
2020,BE,,,,
2023,BE,119.297,99.604,70.3573,19.692999999999998
2021,P12,113.405,97.4671,68.0267,15.937899999999999
2024,B12,120.487,99.478,69.0567,21.009
2021,B12,109.615,88.5839,68.2629,21.031099999999995
2019,MAC,114.89,94.5531,73.7602,20.3369
2023,B12,121.852,101.871,66.551,19.98100000000001
2017,ACC,118.891,97.7973,67.0898,21.0937
2020,P12,,,,
2020,BE,,,,
2022,SEC,111.072,92.0511,70.59,19.020899999999997
2022,WCC,109.764,89.9554,63.493,19.8086
2025,BE,116.921,98.2137,67.0295,18.707300000000004
2015,BE,115.283,96.6313,65.1714,18.651700000000005
2025,A10,116.302,95.6967,66.0872,20.6053
2024,WCC,114.901,95.0135,61.9456,19.887500000000003
2024,ACC,117.427,100.49,66.1043,16.937000000000012
2024,MWC,113.548,93.8489,65.9835,19.6991
2024,BE,118.37,99.8662,69.2111,18.5038
2023,CUSA,114.275,96.0455,68.4356,18.2295
2025,SEC,112.929,95.2149,69.3321,17.714100000000002
2019,B10,113.82,93.8429,65.6376,19.977099999999993
2023,ACC,113.242,94.7531,65.258,18.4889
2020,B12,,,,
2019,ACC,113.376,92.4055,67.1312,20.9705
2024,SEC,122.715,102.69,72.6509,20.025000000000006
2018,B10,113.059,95.9558,67.5578,17.1032
2015,BE,113.166,93.597,63.7582,19.569000000000003
